pathway	104B_1w_ML	104B_3w_ML	104B_4w_ML	104E_1w_ML	104E_3w_ML	104E_4w_ML	104R_1w_ML	104R_3w_ML	104R_4w_ML	104S_0w_ML	105B_1w_ML	105B_3w_ML	105B_4w_ML	105E_1w_ML	105E_3w_ML	105E_4w_ML	105R_1w_ML	105R_3w_ML	105R_4w_ML	105S_0w_ML	108B_1w_ML	108B_3w_ML	108B_4w_ML	108E_1w_ML	108E_3w_ML	108E_4w_ML	108R_1w_ML	108R_3w_ML	108R_4w_ML	108S_0w_ML	109B_1w_ML	109B_3w_ML	109B_4w_ML	109E_1w_ML	109E_3w_ML	109E_4w_ML	109R_1w_ML	109R_3w_ML	109R_4w_ML	109S_0w_ML	201B_1w_ML	201B_3w_ML	201B_4w_ML	201E_1w_ML	201E_3w_ML	201E_4w_ML	201R_1w_ML	201R_3w_ML	201R_4w_ML	201S_0w_ML	202B_1w_ML	202B_3w_ML	202B_4w_ML	202E_1w_ML	202E_3w_ML	202E_4w_ML	202R_1w_ML	202R_3w_ML	202R_4w_ML	202S_0w_ML	206B_1w_ML	206B_3w_ML	206B_4w_ML	206E_1w_ML	206E_3w_ML	206E_4w_ML	206R_1w_ML	206R_3w_ML	206R_4w_ML	206S_0w_ML	207B_1w_ML	207B_3w_ML	207B_4w_ML	207E_1w_ML	207E_3w_ML	207E_4w_ML	207R_1w_ML	207R_3w_ML	207R_4w_ML	207S_0w_ML	209B_1w_ML	209B_3w_ML	209B_4w_ML	209E_1w_ML	209E_3w_ML	209E_4w_ML	209R_1w_ML	209R_3w_ML	209R_4w_ML	209S_0w_ML	301B_1w_ML	301B_3w_ML	301B_4w_ML	301E_1w_ML	301E_3w_ML	301E_4w_ML	301R_1w_ML	301R_3w_ML	301R_4w_ML	301S_0w_ML	302B_1w_ML	302B_3w_ML	302B_4w_ML	302E_1w_ML	302E_3w_ML	302E_4w_ML	302R_1w_ML	302R_3w_ML	302R_4w_ML	302S_0w_ML	306B_1w_ML	306B_3w_ML	306B_4w_ML	306E_1w_ML	306E_3w_ML	306E_4w_ML	306R_3w_ML	306R_4w_ML	306S_0w_ML	309B_1w_ML	309B_3w_ML	309B_4w_ML	309E_1w_ML	309E_3w_ML	309E_4w_ML	309R_1w_ML	309R_3w_ML	309R_4w_ML	309S_0w_ML	310B_1w_ML	310B_3w_ML	310B_4w_ML	310E_1w_ML	310E_3w_ML	310E_4w_ML	310R_1w_ML	310R_3w_ML	310R_4w_ML	310S_0w_ML	411B_1w_ML	411B_3w_ML	411B_4w_ML	411E_1w_ML	411E_3w_ML	411E_4w_ML	411R_1w_ML	411R_3w_ML	411R_4w_ML	411S_0w_ML	Seed_CM_4
1CMET2-PWY	8262.632	8604.7535	8531.6121	9149.539	11103.5114	11961.2596	10442.9657	9906.9265	11024.5995	8857.9059	8145.5927	8436.3799	8353.662	10839.194	11156.5834	11576.0374	9419.3178	10132.9952	10145.8535	8983.4629	8010.6304	8876.1962	8177.652	8000.5627	10363.7892	11618.8781	8328.173	9575.2576	10109.4554	8499.7494	7678.713	8353.3453	8445.3029	9111.1042	10859.7731	11581.4941	10445.2289	9762.4334	10258.7861	9790.011	7830.6174	9528.178	9142.3058	9067.0119	10943.4803	11610.1228	10361.6634	9847.7494	10194.0807	9194.9127	8069.5321	8662.584	8444.7905	8662.3905	11085.5275	11461.3717	8761.7492	10082.1913	9996.6714	9901.7809	8113.6697	8264.0722	8686.2222	8388.0158	10853.6807	11695.4656	9230.6436	9886.5076	10483.989	8621.0274	7922.0023	8903.8621	8265.7226	7796.3676	10839.4841	11326.0272	8874.6021	9940.4497	9636.5404	8856.732	8005.3557	8863.1009	8181.8915	8942.3945	11484.7549	12268.2439	10060.9023	10254.1788	12148.7657	9722.8794	8036.7679	8448.3874	8430.5262	7594.0322	11341.6881	10347.8751	9410.4529	9726.8325	8829.5284	9348.3139	7985.9829	8802.8006	8272.5293	8192.1229	10564.978	11602.9633	9177.4405	10119.4541	10550.2455	8601.6919	8098.9109	8195.4819	8303.0416	7578.4632	10827.5992	11384.7863	9938.7907	9956.9977	8645.7746	7854.4771	8627.8759	8238.282	8157.3939	11105.4229	10842.2915	9118.3146	9942.2571	10039.4681	8692.3078	8323.5001	8976.6231	8678.2783	7997.5849	10948.7359	11080.8991	8869.079	10086.2088	10072.7817	8650.7668	8678.0929	8878.931	8428.1912	6599.6486	10362.8586	11352.4497	8248.8191	10165.9799	9825.9363	8880.9633	9842.5211
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	304.9214	296.6984	206.8495	1475.9546	942.9332	1093.6661	1791.9944	499.0621	903.5242	198.4856	218.8578	166.4828	178.5039	2261.9501	876.7201	568.9301	2623.4352	642.9359	673.1723	401.8132	135.2132	153.4991	137.5187	732.2318	1650.6926	1004.9882	848.1811	383.6457	553.1308	192.8629	130.6112	235.3254	156.777	894.6929	1102.1525	1222.4244	1200.0898	483.3039	786.2145	1057.2408	174.5789	397.1698	203.174	1335.3954	858.5558	833.9098	2624.6544	453.0959	630.9441	255.3916	170.6908	274.9738	256.6235	1343.2917	1076.5221	824.4866	2477.7504	552.1321	876.9481	247.3789	214.2257	208.8301	223.6934	1379.4837	840.0119	1224.1481	2531.5584	659.9838	676.2758	241.2793	129.7433	223.2297	201.5876	1133.5091	1028.0808	696.5937	2073.8198	555.3055	566.2136	393.1633	189.3492	280.9318	218.6815	1562.9143	1053.3113	920.9835	2529.3143	481.2381	522.3317	309.2667	167.1639	238.4857	214.0769	833.6687	1086.7313	2454.5106	1945.8792	565.3518	2119.3933	285.843	336.7486	258.8469	202.6822	1347.6636	1356.0345	1138.6978	2269.6445	757.0079	1004.1386	257.7231	196.8183	108.7504	184.1785	793.1265	1063.4252	781.5114	719.0567	896.2916	291.4088	202.3962	344.0725	285.3298	1212.5088	865.3091	899.2814	1794.0882	513.2119	792.741	420.6783	167.9071	330.5948	193.2373	1289.2263	584.1524	969.1488	1778.3032	662.2894	768.5464	278.742	133.848	195.8113	227.1954	1590.2986	984.2794	838.7036	2613.5801	757.5324	760.9984	226.903	248.3594
AEROBACTINSYN-PWY	6.1397	2.9844	1.5959	0.0	14.3536	12.7565	4.1723	18.8379	7.8059	0.0	0.0	1.3302	3.184	2.6392	14.3506	11.1676	3.3948	9.3825	6.3708	0.1866	4.3318	7.3304	7.4161	1.333	17.5433	17.5069	1.3324	14.0837	5.3102	1.332	5.6296	1.5962	7.5217	1.4997	9.4109	21.1544	4.5446	6.1956	12.6815	0.0	5.9372	5.9603	2.6568	0.3866	12.5963	14.9492	3.3986	14.2453	13.9659	3.1949	4.748	4.602	1.5956	18.6125	7.0128	6.3861	59.5255	9.5334	0.1866	3.672	1.3292	2.9762	1.3311	4.3842	8.6137	12.7538	38.6034	5.8832	14.2312	0.6661	0.0	2.9901	1.3306	3.3997	7.815	12.7565	7.3747	7.5887	7.7786	5.5019	4.3464	1.7175	1.3284	5.9951	29.3825	14.3377	3.8073	10.3403	4.5907	0.0	0.0	3.1852	3.9849	1.3331	7.9838	9.5894	8.3039	9.1618	3.1986	0.1866	7.7177	7.7692	5.3948	0.0	8.0526	11.1591	7.7088	16.9164	6.3688	4.7949	0.0	1.5947	5.5577	0.0	11.1758	12.7523	6.3833	7.7931	1.3308	1.3277	2.6594	1.5976	1.3331	6.3909	23.8632	12.0937	5.5831	9.6044	2.8449	1.5938	4.5791	0.0	1.5996	4.6112	7.3562	6.9129	1.5986	7.7984	2.6587	1.5936	13.6131	5.9207	0.0	9.7394	6.3896	6.0802	7.0024	4.3513	1.597	8.3415
ALL-CHORISMATE-PWY	2555.5194	2497.3655	2990.1472	5568.8013	2887.0269	2190.2615	6983.4252	2730.5469	3384.8096	3443.3024	2036.7048	2450.0777	2422.5879	8280.4023	2117.786	1927.5937	7133.2666	2494.2371	2419.2086	2952.8911	2374.289	2694.7777	2476.8072	3793.9476	2737.2776	2077.1006	4181.7073	2504.2617	3105.1808	2571.8816	1766.6192	2491.0835	2811.6194	5263.8455	2347.9603	2785.1154	7697.3537	2413.3905	2653.7564	2173.9681	2208.8306	3672.1459	4417.9312	4746.7583	2779.9149	2384.0559	5834.7897	2668.835	2718.9518	2947.959	1906.526	2734.1705	2315.1646	4386.1741	2162.9106	2398.9562	5098.8169	2442.8005	2796.6207	5623.5815	2195.1686	1869.0322	2577.7924	3954.4542	2787.6108	2772.6731	5719.9655	2406.4175	2688.4002	2215.5614	1776.4438	2923.155	2308.7507	3668.2424	2587.2264	2394.5097	5824.1814	2454.0443	2383.9334	2968.937	1944.9991	2611.8267	2215.6808	5045.6099	2639.2015	6552.2278	8203.2928	2667.7912	9532.139	3317.948	2071.4038	2446.2588	2790.9223	3314.3463	2379.8391	3327.474	5938.6193	2468.1121	4721.4673	4128.1211	2568.0465	3270.0672	2420.4797	3905.3244	3556.3541	2852.1079	6514.2189	2472.2058	5114.8609	2784.4272	2090.8704	1968.9605	2105.9311	3922.4249	2758.9772	2370.0924	2582.7495	2870.7928	2139.1386	1971.1373	2713.5229	2243.264	4118.8741	2733.715	3161.4096	6335.2453	3016.6645	2635.2057	2576.4977	2053.2195	2297.8398	2179.2744	4149.9216	2204.8217	2880.0015	6111.7643	2399.872	2593.2285	2520.8501	2547.7395	3159.7938	2492.2021	3127.3232	2376.8992	2177.9866	5923.1387	3001.6655	2679.3	2395.1762	3742.3476
ANAEROFRUCAT-PWY	7901.0877	8055.5049	8278.1544	10160.5885	12875.8269	13416.6061	10631.3909	9601.657	9799.3589	8538.2337	7576.7407	8067.3172	8061.7206	11981.4827	12815.7956	13013.877	10615.1424	9700.7098	9362.8345	8214.4762	7618.8765	8239.092	8073.2215	9191.1389	11212.4377	13031.2715	8163.5467	9272.2743	9690.6145	8253.8983	7323.2836	8024.1982	8191.6653	10512.8025	12468.1838	12721.0911	11771.7709	9588.5585	9362.9058	8123.2071	7519.7207	9056.4873	9125.1687	9990.8612	12903.337	13006.6349	10567.3666	9434.8319	9389.2067	8225.6602	7279.9492	7824.1206	7741.7495	10120.7464	12884.9193	13237.5316	9488.6093	9492.6141	9574.4596	9427.8843	7592.1276	7527.7868	8092.5029	9683.0394	12939.3319	13058.511	9876.8651	9576.9274	9484.4258	8046.1294	7083.0149	8302.3377	7904.7092	8981.9845	12472.3131	12940.6012	9769.6971	9729.0175	9271.2756	7939.7698	7512.9096	8156.6459	8048.9948	10105.4944	13237.0943	14367.8111	11741.9589	9717.7578	13591.6872	8421.6432	7415.1735	7875.7881	8061.5988	9232.6674	13253.4777	10808.5535	10265.6045	9582.8802	8130.7106	9112.1496	7385.2186	8223.4295	7838.1288	9269.2619	12497.6826	13173.8975	10511.9517	9688.7211	9700.6523	7825.7706	7321.4361	7568.5313	7717.473	9119.4612	12480.5975	13168.5834	9702.3794	9546.5903	8041.7947	7086.1832	7872.696	7967.6041	9871.1799	13030.683	12307.179	10217.7195	9577.3884	9237.0982	7915.5398	7372.4463	8020.329	7829.7971	9487.4061	12799.5395	12525.8007	9874.3323	9578.0419	9569.0907	8109.4038	7203.4828	8056.5749	7995.0405	7978.1603	12067.7477	12891.7389	9444.5813	9496.9805	9332.1081	8195.9889	9005.1075
ANAGLYCOLYSIS-PWY	12880.5223	13010.6725	12916.7907	11602.7301	12786.5985	13333.3155	12431.0546	12911.7586	12619.8234	13259.1893	12977.4638	13044.5857	12919.9861	13775.3901	12689.8814	13145.1468	12422.2691	12975.174	12620.935	13011.6768	12959.2158	13149.5059	12971.7977	10800.1556	11645.2267	12994.8415	10360.6671	13040.1785	12890.9965	13002.4602	13005.7247	12970.6541	12991.1234	12226.6987	12416.5344	12975.7013	14088.1797	12748.228	12740.4636	13006.1729	12877.5685	13042.8611	13432.9157	11733.8094	12729.9827	13134.2213	12345.2511	12789.6786	12504.4969	12874.2342	12821.5437	12719.9248	12740.924	11153.6413	12699.1212	13163.0969	11404.9422	12780.2142	12640.778	13906.8445	12736.9164	12919.9278	12751.952	11236.0175	12877.3654	13191.6086	11784.671	12948.3527	12785.978	12830.0493	12874.1117	13046.6066	12912.0348	10453.7149	12473.5756	12958.5788	11772.9776	12767.7028	12671.9895	12969.624	12930.4475	13151.2969	12827.5086	11403.5949	13087.7737	14573.4845	13117.557	13094.6255	16190.7093	13288.9873	12899.7062	12956.4053	12924.5772	10653.0873	13034.5091	11081.535	12194.4354	12822.7012	10440.0715	13313.0184	12941.0061	12986.8131	12753.9743	10566.4793	12569.1278	13256.2995	12216.3281	12686.6861	13061.9822	12857.7871	12888.8534	12928.4892	12862.4663	10745.9004	12548.3426	13125.3017	12720.3355	12580.8451	12938.6213	12954.4504	13074.3229	12718.4103	11421.1483	12869.389	12563.5301	12438.9205	13028.0563	12590.2877	12995.2391	12971.9682	12972.0466	13024.0181	10998.9883	12672.5099	12742.664	12078.3726	12839.1313	12808.7699	13078.9983	13011.254	13164.2727	12904.0974	8759.8596	12131.5723	12974.4342	11005.5627	12643.5837	12614.0049	13096.1886	12512.194
ARG+POLYAMINE-SYN	4862.1196	4906.9449	4926.1102	5522.751	3613.6127	3132.9442	6066.7207	5955.0495	5994.1368	5211.5386	4540.9041	5081.5643	4944.7706	7488.1769	2808.9401	3587.5596	6648.081	5873.5776	5671.7196	5286.2112	4310.8768	4909.4403	4757.4946	5285.6313	3796.8918	3077.8137	4326.4593	5590.3762	5588.856	4832.521	4270.3158	4781.8123	4954.3576	5938.9136	2554.7014	3958.4535	6907.162	5500.6642	5537.5883	5778.6225	4556.9298	5607.6685	5513.3963	5674.3015	3185.1466	3634.8522	5599.7819	5683.7669	5690.704	5367.6899	4531.6568	4881.2121	5086.5632	5165.4452	2903.1333	2876.2744	5216.1716	5688.0161	5413.3534	5279.5478	4436.5555	4897.7029	4992.116	5025.2668	3264.128	3838.3128	5259.9702	5739.3742	5491.8328	4987.0308	4061.6094	5130.488	4906.6527	4672.2776	2913.859	3101.6065	5800.9398	5753.5861	5607.8652	5017.9006	4601.5932	5158.189	4934.3294	5192.1745	2792.8137	5022.1138	7107.4538	5740.2212	7696.6452	5419.165	4430.2126	5001.4861	5019.4361	4987.2292	2919.9701	3148.1858	5653.8155	5706.3017	4547.4108	5490.2504	4704.8869	5162.8223	5071.8872	4157.3977	4040.4747	3574.7505	6176.5092	5783.8566	5449.8788	5090.1209	4467.1728	4480.3948	4959.6776	4729.0739	2951.4552	3229.6119	5559.0127	5507.422	5106.5136	4262.2442	4901.7066	4812.7467	4912.6244	2633.7919	4030.8037	5851.8999	5828.1193	5491.435	4939.668	4582.0724	5112.635	4837.6021	4717.8618	2457.1277	3734.2844	5803.325	5453.3536	5541.416	4984.5809	4211.6775	4880.3014	4663.935	3823.7788	2772.4656	2891.3543	5618.6853	5319.7432	5275.6737	4952.0831	3631.8842
ARGDEG-PWY	359.0884	236.8479	356.9517	2997.6337	177.7973	329.4791	4982.259	235.1725	1104.5351	1059.3722	81.8473	364.2197	118.8491	5967.2801	79.5082	52.5016	5660.0437	303.1343	340.05	536.1144	306.618	215.6481	72.6497	1009.0373	48.7265	210.4157	2890.2275	162.0622	840.5244	238.025	26.1459	188.1197	322.589	2404.6191	74.4481	302.8679	6044.5621	195.1739	530.5694	233.6499	172.2617	700.6964	1702.6966	2074.7132	198.6967	183.1114	4662.3453	394.4433	274.3738	658.3552	96.4008	445.3064	238.7427	980.5744	92.67	312.1656	3530.9584	180.1736	532.0119	3158.4006	29.9237	107.9792	226.8146	1173.262	45.1192	205.5905	4049.2075	317.7023	670.1566	228.4515	55.1761	393.3348	105.5646	1094.4782	28.9886	150.8442	4368.4642	123.911	313.3657	520.5507	119.4288	317.7061	146.1161	2207.2332	213.0272	3772.4501	7111.841	556.5088	7823.0804	1099.0628	30.491	97.9759	473.7	411.0349	59.506	1534.855	4377.1678	156.4342	3281.8269	1480.1351	483.029	705.0378	251.2087	1184.9856	391.856	463.5887	5000.8848	269.7266	1134.6063	443.1193	85.6858	46.5265	104.9289	1142.6019	123.5958	54.1226	259.9669	629.0771	91.0603	147.7985	271.2361	135.681	936.8319	105.1318	82.1708	4544.8958	713.0141	714.0213	407.4259	35.2508	91.6886	70.6197	1084.4141	57.4925	77.2656	4457.0954	234.608	416.4248	260.7481	23.4231	573.549	6.8615	828.2665	97.1494	203.2387	4502.7612	750.6888	446.4685	99.1447	349.9567
ARGORNPROST-PWY	1049.8589	885.7254	1139.3261	4881.5128	3275.1127	2560.4437	4081.4391	1447.3511	3055.8561	1693.4133	999.1606	1229.768	869.1761	5371.4528	2433.6946	2039.0184	4067.3492	1714.401	1983.3013	1174.3744	1159.7353	1105.5948	987.2364	3539.5571	2553.9117	2098.6653	3962.6967	1364.7844	2058.6773	948.4574	948.2573	1129.7401	1230.3756	5036.2194	2978.0105	2568.9908	5083.8424	1495.2195	2305.9026	2332.3515	945.0838	1691.2873	2351.4354	4378.4392	3390.7962	1895.7516	5073.6141	1465.8848	1869.6743	1380.7019	744.1592	951.1981	1058.7295	3739.7853	2579.2021	2440.929	3507.3832	1296.2225	1818.1844	3123.4696	931.1448	844.8396	919.2377	4162.1921	4019.762	2705.3079	3888.4923	1357.5498	2445.4084	931.1689	851.082	1210.9025	932.5047	4020.1608	3529.143	2746.7317	3955.8978	1357.3593	1470.366	1121.1683	964.4081	1236.1	926.7328	4949.1098	3170.5821	6434.7327	5230.2751	1700.1844	6045.2047	2267.4766	943.0012	929.1672	1164.7586	3938.8285	3166.9852	2257.3087	4352.1651	1324.7494	2322.973	2210.818	1053.9106	1381.1294	912.2999	4209.0058	3772.9599	2480.1961	4072.7366	1674.6554	3880.7901	1194.7152	945.9262	843.932	994.1528	4482.0039	3341.9008	2804.7468	1539.6536	2091.5701	955.8099	921.1678	1004.1465	955.5115	4189.5615	3470.0948	3039.5447	3951.4594	1753.6067	2310.9391	1115.4816	863.2178	1181.8443	922.2831	3862.502	3113.6708	2835.0137	3964.2459	1435.2643	1682.0356	1163.9148	1024.9041	1501.0296	925.3056	3511.996	2748.0509	2334.3972	3634.7346	1834.6768	1746.6908	1108.0542	2508.2001
ARGSYN-PWY	10774.3655	10777.7333	10868.9599	9378.5741	11531.1318	12433.2555	9505.6947	10401.1402	11202.7094	11124.8028	10994.9383	10993.059	10776.1753	10330.086	11722.7682	12259.0298	9466.2296	10596.4013	10776.7452	10733.2938	11073.3537	10901.7078	11012.2762	9140.7148	10483.1955	12162.926	8965.5953	10765.1364	10805.7345	10824.9906	11030.5613	10851.7518	10915.8562	9907.3652	11244.3265	11872.0945	11303.1964	10658.0855	10973.4602	11972.221	11152.012	10776.1723	11118.5858	9671.532	11539.5931	12383.8066	10315.7709	10672.6113	10692.0232	10891.4403	10820.9028	10505.8054	10729.5471	9593.6295	11711.0197	12197.6786	9023.6733	10353.1837	10662.0519	11545.7179	10898.4354	10921.8419	10711.6576	9199.2315	11327.3555	12144.0599	9257.941	10539.0901	10951.7173	10815.8315	10911.6897	10753.6656	10841.4399	8471.1243	11064.83	11836.7142	9460.107	10483.7531	10532.8955	10687.1843	10843.9825	10861.3442	10793.24	9503.863	11945.3983	12596.8034	10494.4631	10633.2825	13132.9496	11233.9525	10944.786	11069.9853	10788.6974	8878.1445	11935.9407	10405.527	9904.8849	10730.052	8314.6948	11128.3381	10791.3894	10789.6591	10646.7021	8645.0354	11105.3823	12298.3737	9652.9654	10449.9522	11561.4847	10728.7849	10703.7501	10651.4668	10840.423	8883.6736	11271.5645	12075.4308	10524.5707	10557.1487	10825.2459	10746.638	10626.74	10699.1654	9654.7901	11606.6737	11275.3647	9967.6479	10554.1392	10724.8009	10646.6873	10689.7413	10884.4077	10850.0749	9136.9469	11455.5681	11544.3028	9646.5466	10365.3567	10292.8885	10891.7428	10909.9975	10735.756	10756.7078	6999.8922	10899.4846	12009.829	8676.1562	10346.0375	10438.607	10935.9003	11320.6872
