ID	Sample_ID	Compartment	Genotype	Expression	Treatment
B_1_GR24	B_1_GR24	Bulk	None	GR24	B_GR24
B_2_GR24	B_2_GR24	Bulk	None	GR24	B_GR24
B_3_GR24	B_3_GR24	Bulk	None	GR24	B_GR24
B_4_GR24	B_4_GR24	Bulk	None	GR24	B_GR24
B_5_GR24	B_5_GR24	Bulk	None	GR24	B_GR24
B_6_GR24	B_6_GR24	Bulk	None	GR24	B_GR24
B_7_GR24	B_7_GR24	Bulk	None	GR24	B_GR24
B_8_GR24	B_8_GR24	Bulk	None	GR24	B_GR24
B_1	B_1	Bulk	None	None	B
B_2	B_2	Bulk	None	None	B
B_4	B_4	Bulk	None	None	B
B_6	B_6	Bulk	None	None	B
B_7	B_7	Bulk	None	None	B
B_8	B_8	Bulk	None	None	B
B_5	B_5	Bulk	None	None	B
CT_1	CT_1	Rhizosphere	Control	CT	CT
CT_2	CT_2	Rhizosphere	Control	CT	CT
CT_3	CT_3	Rhizosphere	Control	CT	CT
CT_4	CT_4	Rhizosphere	Control	CT	CT
CT_5	CT_5	Rhizosphere	Control	CT	CT
CT_6	CT_6	Rhizosphere	Control	CT	CT
CT_7	CT_7	Rhizosphere	Control	CT	CT
CT_8	CT_8	Rhizosphere	Control	CT	CT
CT_1_GR24	CT_1_GR24	Rhizosphere	Control	GR24	CT_GR24
CT_2_GR24	CT_2_GR24	Rhizosphere	Control	GR24	CT_GR24
CT_3_GR24	CT_3_GR24	Rhizosphere	Control	GR24	CT_GR24
CT_4_GR24	CT_4_GR24	Rhizosphere	Control	GR24	CT_GR24
CT_5_GR24	CT_5_GR24	Rhizosphere	Control	GR24	CT_GR24
CT_6_GR24	CT_6_GR24	Rhizosphere	Control	GR24	CT_GR24
CT_7_GR24	CT_7_GR24	Rhizosphere	Control	GR24	CT_GR24
CT_8_GR24	CT_8_GR24	Rhizosphere	Control	GR24	CT_GR24
G1_1_Over	G1_1_Over	Rhizosphere	D14	Over	D14_over
G1_2_Over	G1_2_Over	Rhizosphere	D14	Over	D14_over
G1_3_Over	G1_3_Over	Rhizosphere	D14	Over	D14_over
G1_4_Over	G1_4_Over	Rhizosphere	D14	Over	D14_over
G1_5_Over	G1_5_Over	Rhizosphere	D14	Over	D14_over
G1_6_Over	G1_6_Over	Rhizosphere	D14	Over	D14_over
G1_7_Over	G1_7_Over	Rhizosphere	D14	Over	D14_over
G1_8_Over	G1_8_Over	Rhizosphere	D14	Over	D14_over
G1_1_RNAi	G1_1_RNAi	Rhizosphere	D14	RNAi	D14_RNAi
G1_2_RNAi	G1_2_RNAi	Rhizosphere	D14	RNAi	D14_RNAi
G1_4_RNAi	G1_4_RNAi	Rhizosphere	D14	RNAi	D14_RNAi
G1_5_RNAi	G1_5_RNAi	Rhizosphere	D14	RNAi	D14_RNAi
G1_6_RNAi	G1_6_RNAi	Rhizosphere	D14	RNAi	D14_RNAi
G1_7_RNAi	G1_7_RNAi	Rhizosphere	D14	RNAi	D14_RNAi
G1_8_RNAi	G1_8_RNAi	Rhizosphere	D14	RNAi	D14_RNAi
G10_1_GR24	G10_1_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_2_GR24	G10_2_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_3_GR24	G10_3_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_4_GR24	G10_4_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_5_GR24	G10_5_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_6_GR24	G10_6_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_7_GR24	G10_7_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_8_GR24	G10_8_GR24	Rhizosphere	Max1	GR24	Max1_GR24
G10_1_Over	G10_1_Over	Rhizosphere	Max1	Over	Max1_over
G10_2_Over	G10_2_Over	Rhizosphere	Max1	Over	Max1_over
G10_3_Over	G10_3_Over	Rhizosphere	Max1	Over	Max1_over
G10_4_Over	G10_4_Over	Rhizosphere	Max1	Over	Max1_over
G10_5_Over	G10_5_Over	Rhizosphere	Max1	Over	Max1_over
G10_6_Over	G10_6_Over	Rhizosphere	Max1	Over	Max1_over
G10_7_Over	G10_7_Over	Rhizosphere	Max1	Over	Max1_over
G10_8_Over	G10_8_Over	Rhizosphere	Max1	Over	Max1_over
G10_1_RNAi	G10_1_RNAi	Rhizosphere	Max1	RNAi	Max1_RNAi
G10_2_RNAi	G10_2_RNAi	Rhizosphere	Max1	RNAi	Max1_RNAi
