,Sample_ID,Soil_type,Treatment,Compartment,Treat,Time,Maturity_group,Class
Ag_Bulk_1,Ag_Bulk_1,Agriculture,Bulk,Bulk,Ag_Bulk,08_05,Non,Ag_Soil
Ag_Bulk_2,Ag_Bulk_2,Agriculture,Bulk,Bulk,Ag_Bulk,08_08,Non,Ag_Soil
Ag_Bulk_3,Ag_Bulk_3,Agriculture,Bulk,Bulk,Ag_Bulk,08_08,Non,Ag_Soil
Ag_Bulk_4,Ag_Bulk_4,Agriculture,Bulk,Bulk,Ag_Bulk,08_17,Non,Ag_Soil
Ag_Bulk_5,Ag_Bulk_5,Agriculture,Bulk,Bulk,Ag_Bulk,08_18,Non,Ag_Soil
Ag_Bulk_6,Ag_Bulk_6,Agriculture,Bulk,Bulk,Ag_Bulk,08_21,Non,Ag_Soil
Ag_Bulk_7,Ag_Bulk_7,Agriculture,Bulk,Bulk,Ag_Bulk,08_24,Non,Ag_Soil
Ag_Bulk_8,Ag_Bulk_8,Agriculture,Bulk,Bulk,Ag_Bulk,08_28,Non,Ag_Soil
Ag_Bulk_9,Ag_Bulk_9,Agriculture,Bulk,Bulk,Ag_Bulk,08_29,Non,Ag_Soil
Ag_Bulk_10,Ag_Bulk_10,Agriculture,Bulk,Bulk,Ag_Bulk,09_05,Non,Ag_Soil
Ag_Bulk_11,Ag_Bulk_11,Agriculture,Bulk,Bulk,Ag_Bulk,09_05,Non,Ag_Soil
Ag_Bulk_12,Ag_Bulk_12,Agriculture,Bulk,Bulk,Ag_Bulk,09_07,Non,Ag_Soil
Ag_WIL_1,Ag_WIL_1,Agriculture,WIL,Rhizosphere,Ag_WIL,07_25,MG_III,Ag_WIL
Ag_WIL_2,Ag_WIL_2,Agriculture,WIL,Rhizosphere,Ag_WIL,07_25,MG_III,Ag_WIL
Ag_WIL_3,Ag_WIL_3,Agriculture,WIL,Rhizosphere,Ag_WIL,07_25,MG_III,Ag_WIL
Ag_WIL_4,Ag_WIL_4,Agriculture,WIL,Rhizosphere,Ag_WIL,07_25,MG_III,Ag_WIL
Ag_WIL_5,Ag_WIL_5,Agriculture,WIL,Rhizosphere,Ag_WIL,07_25,MG_III,Ag_WIL
Ag_WIL_6,Ag_WIL_6,Agriculture,WIL,Rhizosphere,Ag_WIL,08_08,MG_III,Ag_WIL
Ag_WIL_7,Ag_WIL_7,Agriculture,WIL,Rhizosphere,Ag_WIL,08_08,MG_III,Ag_WIL
Ag_WIL_8,Ag_WIL_8,Agriculture,WIL,Rhizosphere,Ag_WIL,08_08,MG_III,Ag_WIL
Ag_WIL_9,Ag_WIL_9,Agriculture,WIL,Rhizosphere,Ag_WIL,08_08,MG_III,Ag_WIL
Ag_WIL_10,Ag_WIL_10,Agriculture,WIL,Rhizosphere,Ag_WIL,08_08,MG_III,Ag_WIL
Ag_DRT_1,Ag_DRT_1,Agriculture,DRT,Rhizosphere,Ag_DRT,08_28,MG_VI,Ag_DRT
Ag_DRT_2,Ag_DRT_2,Agriculture,DRT,Rhizosphere,Ag_DRT,08_28,MG_VI,Ag_DRT
Ag_DRT_3,Ag_DRT_3,Agriculture,DRT,Rhizosphere,Ag_DRT,08_28,MG_VI,Ag_DRT
Ag_DRT_4,Ag_DRT_4,Agriculture,DRT,Rhizosphere,Ag_DRT,08_29,MG_VI,Ag_DRT
Ag_DRT_5,Ag_DRT_5,Agriculture,DRT,Rhizosphere,Ag_DRT,08_29,MG_VI,Ag_DRT
Ag_DRT_6,Ag_DRT_6,Agriculture,DRT,Rhizosphere,Ag_DRT,08_29,MG_VI,Ag_DRT
Ag_DRT_7,Ag_DRT_7,Agriculture,DRT,Rhizosphere,Ag_DRT,08_29,MG_VI,Ag_DRT
