Bulk_1	Bulk_2	Bulk_3	Bulk_4	Bulk_5	Bulk_6	Bulk_7	Bulk_8	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	D14_1	D14_2	D14_3	D14_4	D14_5	D14_6	D14_7	Max1_1	Max1_2	Max1_3	Max1_4	Max1_5	Max1_6	Max1_7	Max2_1	Max2_2	Max2_3	Max2_4	Max2_5	Max2_6	Max2_7
2162	2058	2022	2083	1926	2121	1993	2095	1111	1208	1129	1299	810	998	775	1293	1179	1135	1938	999	1141	827	593	565	1124	881	742	1029	1091	1304	956	1233	1029	746	972	951	Bacteria;Acidobacteria;Subgroup_6;Subgroup_6_or;Subgroup_6_fa;Subgroup_6_ge;
440	440	409	374	447	426	521	453	350	290	302	320	292	315	319	304	267	291	511	303	326	264	270	347	304	276	336	274	321	387	359	334	338	414	420	308	Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;uncultured;
807	722	698	733	956	752	849	787	345	440	402	425	249	345	288	504	376	326	693	262	516	286	236	162	370	408	363	400	534	494	343	504	432	222	372	495	Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;Pedosphaeraceae_ge;
978	936	833	995	1009	921	1076	925	551	603	493	639	583	490	518	685	570	575	869	635	633	451	393	336	544	605	534	584	614	668	589	619	654	500	681	595	Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;WD2101_soil_group_ge;
28	27	41	34	36	41	26	41	118	292	94	122	50	77	108	264	178	415	72	274	428	448	178	308	328	155	525	98	523	379	563	447	528	495	310	448	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobiaceae_unclassified;
148	114	95	121	109	91	88	90	379	194	236	237	165	312	262	273	164	227	136	277	179	318	272	227	237	364	296	145	311	379	253	371	396	402	356	483	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadales_fa;Saccharimonadales_ge;
147	147	132	126	128	144	132	163	94	74	100	109	58	82	80	104	77	80	106	99	74	59	59	73	73	78	81	65	86	137	110	96	75	105	102	83	Bacteria;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;
76	121	113	122	120	135	122	104	167	213	213	226	89	164	99	195	145	132	124	169	186	122	103	198	141	86	172	114	153	268	183	185	184	164	172	157	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderiaceae_unclassified;
193	227	270	230	276	212	203	250	89	107	124	129	65	121	104	112	97	68	179	78	113	60	47	42	100	82	80	95	118	122	75	117	88	69	57	88	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;
346	327	333	301	319	298	347	343	327	241	273	253	199	217	217	229	305	256	342	200	250	204	199	371	267	170	227	197	242	357	282	283	265	253	315	262	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pirellula;
0	0	1	0	1	0	1	0	416	613	91	23	4345	2299	99	211	1337	518	4	1032	21	912	3599	58	1510	4396	648	4294	5	9	23	86	70	439	12	7	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;
206	253	262	292	253	240	284	261	385	283	233	288	150	310	196	231	247	293	298	162	390	197	193	233	214	175	206	223	392	359	316	379	395	232	273	402	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;uncultured;
67	75	141	91	60	131	85	80	159	144	165	190	118	152	131	138	135	136	133	155	158	169	167	267	178	117	186	146	158	110	201	189	122	157	161	191	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14;67-14_ge;
79	137	102	104	79	103	107	101	148	108	94	123	90	119	108	137	125	134	101	102	112	109	128	158	119	89	115	84	162	140	153	132	111	139	146	145	Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;uncultured;
